name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Hassan Whiteside","Miami Heat",2016-10-28,2016,4262,1610612748,400899456,3,10,51,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-10-28,2016,984,1610612756,400899455,1,4,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Rudy Gobert","Utah Jazz",2016-10-28,2016,3032976,1610612762,400899458,1,8,15,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"John Henson","Milwaukee Bucks",2016-10-26,2016,6592,1610612749,400899384,2,9,59,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-10-30,2016,984,1610612756,400899486,3,3,40,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-10-30,2016,984,1610612756,400899486,1,5,31,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2016-10-26,2016,6583,1610612740,400899388,1,4,02,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-10-28,2016,6585,1610612765,400899454,3,6,50,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2016-10-30,2016,3442,1610612746,400899485,3,10,17,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-10-28,2016,6474,1610612739,400899429,4,3,24,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2016-10-31,2016,3442,1610612746,400899495,4,7,26,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Andre Roberson","Oklahoma City Thunder",2016-10-30,2016,2530596,1610612760,400899490,3,4,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2016-10-26,2016,4262,1610612748,400899378,4,0,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Clint Capela","Houston Rockets",2016-10-28,2016,3102529,1610612745,400899457,2,9,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,0,0.00,,0.00,0.00
"Clint Capela","Houston Rockets",2016-10-26,2016,3102529,1610612745,400899415,1,1,01,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2016-10-31,2016,3442,1610612746,400899495,2,6,11,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Clint Capela","Houston Rockets",2016-10-30,2016,3102529,1610612745,400899491,4,11,13,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,0,0.00,,0.00,0.00
"Andre Iguodala","Golden State Warriors",2016-10-25,2016,2386,1610612744,400899377,2,0,06,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Justin Holiday","New York Knicks",2016-10-29,2016,2284101,1610612752,400899478,2,9,39,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-10-30,2016,2991235,1610612760,400899490,2,1,24,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Richaun Holmes","Philadelphia 76ers",2016-10-29,2016,2993370,1610612755,400899476,3,2,08,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"Andrew Bogut","Dallas Mavericks",2016-10-26,2016,2747,1610612742,400899379,1,8,14,1,"Alley Oop Dunk Shot","2PT Field Goal",3,"Indiana Pacers",32,16,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2016-10-29,2016,3032977,1610612749,400899481,2,5,33,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,,0.00,0.00
"Eric Bledsoe","Phoenix Suns",2016-10-30,2016,4238,1610612756,400899486,2,1,11,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",-1,2,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2016-10-30,2016,3032977,1610612749,400899488,1,3,46,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,0,0.00,,0.00,0.00
